movie_id,movie_title,release_year,num_voted_users
tt0111161,The Shawshank Redemption,1994,2012309
tt0468569,The Dark Knight,2008,1980974
tt1375666,Inception,2010,1760982
tt0137523,Fight Club,1999,1610146
tt0110912,Pulp Fiction,1994,1570853
tt0109830,Forrest Gump,1994,1532783
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,1449146
tt0133093,The Matrix,1999,1443721
tt0167260,The Lord of the Rings: The Return of the King,2003,1432474
tt0068646,The Godfather,1972,1378863
