imdb_top_words.genre,imdb_top_words.word,imdb_top_words.count,imdb_top_words.sentiment
Action,good,19829,1.1490745877250488
Action,action,15639,1.5493317987083577
Action,time,13572,1.0392720306513414
Action,story,13043,1.0379513915510232
Action,great,12430,2.188495575221239
Action,bad,10245,-0.29575402635431924
Action,people,9455,0.8851401374933898
Action,plot,8533,0.3588421422711825
Action,character,8429,1.0571835330406927
Action,made,8268,0.7429850024189646
Action,characters,7975,0.854043887147335
Action,make,7805,0.46675208199871854
Action,watch,6876,1.01890634089587
Action,end,6687,0.9748766262898156
Action,scenes,6584,1.080194410692588
Action,back,6531,1.215434083601286
Action,man,6051,1.31598082961494
Action,love,5878,1.643416127934672
Action,scene,5853,0.9466940030753461
Action,lot,5621,1.4814090019569468
Action,thought,5316,1.040632054176072
Action,acting,5222,0.6030256606664111
Action,bond,5206,1.1876680752977338
Action,world,5037,1.3198332340678975
Action,watching,4838,0.5597354278627531
Action,pretty,4831,1.051128130821776
Action,years,4817,1.2599128088021594
Action,big,4768,0.9389681208053693
Action,thing,4745,0.5262381454162277
Action,part,4656,1.170747422680412
Action,series,4590,1.2407407407407405
Action,original,4584,1.1470331588132634
Action,effects,4470,0.8597315436241608
Action,life,4378,1.3841936957514847
Action,things,4247,0.869554979985872
Action,find,4161,1.1511655851958666
Action,makes,3993,1.2659654395191584
Action,director,3985,0.8321204516938518
Action,real,3975,1.1572327044025155
Action,guy,3973,0.35263025421595806
Action,bit,3906,1.5494111623143878
Action,cast,3854,1.3749351323300463
Action,fun,3811,1.7601679349252164
Action,book,3748,0.6750266808964778
Action,special,3662,0.86400873839432
Action,war,3614,1.6923076923076925
Action,give,3593,0.8377400500974117
Action,fan,3518,0.815235929505401
Action,long,3478,0.829787234042553
Action,fact,3465,0.7847041847041849
Adventure,good,16137,1.1499039474499595
Adventure,story,13612,1.2773288275051424
Adventure,time,11988,1.189522856189523
Adventure,great,10855,2.178535237217872
Adventure,action,8284,1.5622887493964273
Adventure,characters,8095,0.9950586781964175
Adventure,people,7937,0.9218848431397255
Adventure,bad,7470,-0.39263721552878206
Adventure,made,7413,0.8610549035478217
Adventure,make,6952,0.5327963176064445
Adventure,character,6742,1.0080094927321266
Adventure,plot,6647,0.3118700165488191
Adventure,back,6155,1.3816409423233145
Adventure,love,6153,1.8803835527385013
Adventure,watch,6008,1.0649134487350196
Adventure,book,6004,0.5947701532311793
Adventure,end,5929,0.9079102715466352
Adventure,bond,5035,1.2000000000000002
Adventure,scenes,5031,1.0926257205326975
Adventure,world,5021,1.5269866560446124
Adventure,scene,4807,0.9174121073434574
Adventure,thought,4711,1.07493101252388
Adventure,lot,4689,1.5120494775005335
Adventure,man,4658,1.3696865607556887
Adventure,life,4535,1.7056229327453138
Adventure,years,4408,1.5421960072595278
Adventure,part,4352,1.2173713235294121
Adventure,thing,4280,0.5563084112149532
