movie_id,movie_title,release_year,worldwide_gross
tt0499549,Avatar,2009,2776345279
tt0120338,Titanic,1997,2208208395
tt0369610,Jurassic World,2015,1648893208
tt2820852,Furious 7,2015,1518722794
tt2395427,Avengers: Age of Ultron,2015,1405057855
tt1680310,Harry Potter and the Deathly Hallows: Part II,2011,1341511219
tt2294629,Frozen,2013,1272469910
tt1300854,Iron Man 3,2013,1215392272
tt2293640,Minions,2015,1162781621
tt3498820,Captain America: Civil War,2016,1143219772
